SID,Targets,Attributes,Description,Fix Type,Fix,Solution,Validation
AC05,Dataflow,,Content Spoofing,Attribute and Control,((target.source.controls.providesIntegrity is True and target.sink.controls.providesIntegrity is True) or target.controls.isEncrypted is True) and (target.source.inScope is False or target.isResponse is True or (target.controls.authenticatesDestination is True and target.controls.checksDestinationRevocation is True)),,
DR01,Dataflow,,Unprotected Sensitive Data,Attribute and Control,(target.hasDataLeaks() is False and any(d.isCredentials or d.isPII for d in target.data)) or (target.controls.isEncrypted is True and (target.isResponse is True and any(d.isStored and d.isDestEncryptedAtRest for d in target.data)) and (target.isResponse is False or any(d.isStored and d.isSourceEncryptedAtRest for d in target.data))),,
DE03,Dataflow,,Sniffing Attacks,Attribute and Control,(target.protocol != 'HTTP' and target.controls.isEncrypted is True) and target.usesVPN is True,,
CR01,Dataflow,,Session Sidejacking,Attribute,(target.protocol != 'HTTP' and target.usesVPN is True) or target.usesSessionTokens is False,,
CR02,Dataflow,,Cross Site Tracing,Attribute and Control,(target.protocol != 'HTTP' or target.usesSessionTokens is False) or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),,
CR06,Dataflow,,Communication Channel Manipulation,Attribute and Control,(target.protocol == 'HTTPS' and target.usesVPN is True) or (target.controls.implementsAuthenticationScheme is True and target.controls.authorizesSource is True),,
DO03,Dataflow,,XML Ping of the Death,Attribute,any(d.format != 'XML' for d in target.data),,
DO04,Dataflow,,XML Entity Expansion,Attribute,any(d.format != 'XML' for d in target.data) or target.handlesResources is True,,
AC04,Dataflow,,XML Schema Poisoning,Control,target.controls.authorizesSource is True,,
DE01,Dataflow,,Interception,Attribute and Control,target.controls.isEncrypted is True and (target.source.inScope is False or target.isResponse is True or (target.controls.authenticatesDestination is True and target.controls.checksDestinationRevocation is True)) and target.tlsVersion >= target.sink.minTLSVersion,,
CR08,Dataflow,,Client-Server Protocol Manipulation,Attribute and Control,target.controls.isEncrypted is True and target.tlsVersion >= target.sink.minTLSVersion,,
DS06,Dataflow,,Data Leak,Attribute,target.hasDataLeaks() is False,,
CR07,Dataflow,,XML Routing Detour Attacks,Attribute,target.protocol != 'HTTP' or any(d.format != 'XML' for d in target.data),,
AC22,Dataflow,,Credentials Aging,Attribute and Control,"target.sink.inScope is False or any(d.credentialsLife in (Lifetime.UNKNOWN, Lifetime.LONG, Lifetime.MANUAL, Lifetime.HARDCODED) for d in target.data)",,
DO02,Datastore,,Excessive Allocation,Control,target.controls.handlesResourceConsumption is True,,
AC01,Datastore,,Privilege Abuse,Control,target.controls.hasAccessControl is True and target.controls.authorizesSource is True,,
CR05,Datastore,,Encryption Brute Forcing,Control,target.controls.usesEncryptionAlgorithm == 'RSA' or target.controls.usesEncryptionAlgorithm == 'AES',,
DE04,Datastore,,Audit Log Manipulation,Control,target.controls.validatesInput is True and target.controls.implementsPOLP is True,,
AC02,Datastore,,Shared Data Manipulation,Attribute,target.isShared is False,,
HA02,ExternalEntity,,White Box Reverse Engineering,Attribute,target.hasPhysicalAccess is False,,
HA04,ExternalEntity,,Reverse Engineering,Attribute,target.hasPhysicalAccess is False,,
INP24,Lambda,,Filter Failure through Buffer Overflow,Control,target.controls.checksInputBounds is True and target.controls.validatesInput is True,,
INP12,Lambda,,Client-side Injection-induced Buffer Overflow,Control,target.controls.checksInputBounds is True or target.controls.validatesInput is True,,
DO02,Lambda,,Excessive Allocation,Control,target.controls.handlesResourceConsumption is True,,
INP13,Lambda,,Command Delimiters,Control,target.controls.validatesInput is True,,
INP14,Lambda,,Input Data Manipulation,Control,target.controls.validatesInput is True,,
INP08,Lambda,,Format String Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP25,Lambda,,Resource Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP26,Lambda,,Code Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
DS02,Lambda,,Try All Common Switches,Attribute,target.environment != 'Production',,
LB01,Lambda,,API Manipulation,Attribute and Control,target.implementsAPI is False or (target.controls.validatesInput is True and target.controls.sanitizesInput is True),,
API01,Lambda,,Exploit Test APIs,Attribute,target.implementsAPI is False or target.controls.removesTestAPIs is True,Secure Coding Standards – Remove Test Objects,DAST
API02,Lambda,,Exploit Script-Based APIs,Attribute and Control,target.implementsAPI is False or target.controls.validatesInput is True,"API Gateway, Secure Coding Standards – Input Validation",
AC03,Lambda,,Subverting Environment Variable Values,Attribute and Control,target.usesEnvironmentVariables is False or (target.controls.implementsAuthenticationScheme is True and target.controls.validatesInput is True and target.controls.authorizesSource is True),,
INP01,Lambda,,Buffer Overflow via Environment Variables,Attribute and Control,target.usesEnvironmentVariables is False or target.controls.sanitizesInput is True or target.controls.checksInputBounds is True,,
DE02,Process,,Double Encoding,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP08,Process,,Format String Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP25,Process,,Resource Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP26,Process,,Code Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP27,Process,,XSS Targeting HTML Attributes,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP30,Process,,XSS Using Invalid Characters,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP33,Process,,Remote Code Inclusion,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP35,Process,,Leverage Alternate Encoding,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP41,Process,,Argument Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
AC18,Process,,Session Hijacking - ClientSide,Control,(target.controls.usesStrongSessionIdentifiers is True and target.controls.encryptsCookies is True) or target.controls.definesConnectionTimeout is True,,
INP38,Process,,DOM-Based XSS,Attribute and Control,target.allowsClientSideScripting is False or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP39,Process,,Reflected XSS,Attribute and Control,target.allowsClientSideScripting is False or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
INP40,Process,,Stored XSS,Attribute and Control,target.allowsClientSideScripting is False or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),"Secure Coding Standards – Input Sanitization, Secure Coding Standards – Input Validation","SAST, DAST"
AA01,Process,,Authentication Abuse/ByPass,Control,target.controls.authenticatesSource is True,Oauth 2.0,DAST
AA02,Process,,Principal Spoof,Control,target.controls.authenticatesSource is True,Oauth 2.0,DAST
INP02,Process,,Overflow Buffers,Control,target.controls.checksInputBounds is True,,
INP24,Process,,Filter Failure through Buffer Overflow,Control,target.controls.checksInputBounds is True and target.controls.validatesInput is True,,
INP12,Process,,Client-side Injection-induced Buffer Overflow,Control,target.controls.checksInputBounds is True or target.controls.validatesInput is True,,
AC20,Process,,Reusing Session IDs (aka Session Replay) - ClientSide,Control,target.controls.definesConnectionTimeout is True or (target.controls.usesMFA is True and target.controls.encryptsSessionData is True),,
INP20,Process,,iFrame Overlay,Control,target.controls.disablesiFrames is True,,
DO02,Process,API,Excessive Allocation,Control,target.controls.handlesResourceConsumption is True,API Gateway,
DO02,Process,Web App,Excessive Allocation,Control,target.controls.handlesResourceConsumption is True,Web Application Firewall,
DO01,Process,API,Flooding,Control,target.controls.handlesResourceConsumption is True and target.controls.isResilient is True,API Gateway,
DO01,Process,Web App,Flooding,Control,target.controls.handlesResourceConsumption is True and target.controls.isResilient is True,Web Application Firewall,
AC01,Process,,Privilege Abuse,Control,target.controls.hasAccessControl is True and target.controls.authorizesSource is True,,
AC12,Process,,Privilege Escalation,Control,target.controls.hasAccessControl is True and target.controls.implementsPOLP is True,,
AC13,Process,,Hijacking a privileged process,Control,target.controls.hasAccessControl is True and target.controls.implementsPOLP is True,,
INP23,Process,,File Content Injection,Control,target.controls.hasAccessControl is True or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),,
CR03,Process,,Dictionary-based Password Attack,Control,target.controls.implementsAuthenticationScheme is True,,
AC21,Process,,Cross Site Request Forgery,Control,target.controls.implementsCSRFToken is True and target.controls.verifySessionIdentifiers is True,,
SC01,Process,,JSON Hijacking (aka JavaScript Hijacking),Attribute and Control,target.controls.implementsNonce is True or any(d.format != 'JSON' for d in target.data),,
AC15,Process,,Schema Poisoning,Control,target.controls.implementsPOLP is True,,
AC14,Process,,Catching exception throw/signal from privileged block,Attribute and Control,target.controls.implementsPOLP is True or (target.usesEnvironmentVariables is False and target.controls.validatesInput is True),,
INP31,Process,,Command Injection,Control,target.controls.usesParameterizedInput is True or (target.controls.validatesInput is True and target.controls.sanitizesInput is True),,
INP07,Process,,Buffer Manipulation,Control,target.controls.usesSecureFunctions is True,,
INP13,Process,,Command Delimiters,Control,target.controls.validatesInput is True,,
INP14,Process,,Input Data Manipulation,Control,target.controls.validatesInput is True,,
INP28,Process,,XSS Targeting URI Placeholders,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
INP29,Process,,XSS Using Doubled Characters,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
INP32,Process,,XML Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
DS02,Process,,Try All Common Switches,Attribute,target.environment != 'Production',,
LB01,Process,,API Manipulation,Attribute and Control,target.implementsAPI is False or (target.controls.validatesInput is True and target.controls.sanitizesInput is True),API Gateway,
API01,Process,,Exploit Test APIs,Attribute,target.implementsAPI is False or target.controls.removesTestAPIs is True,,
API02,Process,,Exploit Script-Based APIs,Attribute and Control,target.implementsAPI is False or target.controls.validatesInput is True,API Gateway,
AC03,Process,,Subverting Environment Variable Values,Attribute and Control,target.usesEnvironmentVariables is False or (target.controls.implementsAuthenticationScheme is True and target.controls.validatesInput is True and target.controls.authorizesSource is True),,
INP01,Process,,Buffer Overflow via Environment Variables,Attribute and Control,target.usesEnvironmentVariables is False or target.controls.sanitizesInput is True or target.controls.checksInputBounds is True,,
DS01,Server,,Excavation,Control,(target.controls.sanitizesInput is True and target.controls.validatesInput is True) and target.controls.encodesOutput is True,,
INP04,Server,,HTTP Request Splitting,Attribute and Control,(target.controls.validatesInput is True and target.controls.validatesHeaders is True) or target.protocol !='HTTP',,
CR01,Server,,Session Sidejacking,Attribute,(target.protocol != 'HTTP' and target.usesVPN is True) or target.usesSessionTokens is False,,
CR02,Server,,Cross Site Tracing,Attribute and Control,(target.protocol != 'HTTP' or target.usesSessionTokens is False) or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),,
INP15,Server,,IMAP/SMTP Command Injection,Attribute and Control,(target.protocol != 'IMAP' and target.protocol != 'SMTP') or target.controls.sanitizesInput is True,,
AC10,Server,,Exploiting Incorrectly Configured SSL,Attribute and Control,target.checkTLSVersion(target.inputs) is False or (target.controls.implementsAuthenticationScheme is True and target.controls.authorizesSource is True),,
AA01,Server,,Authentication Abuse/ByPass,Control,target.controls.authenticatesSource is True,,
AA02,Server,,Principal Spoof,Control,target.controls.authenticatesSource is True,,
INP34,Server,,SOAP Array Overflow,Control,target.controls.checksInputBounds is True,,
DS04,Server,,XSS Targeting Error Pages,Control,target.controls.encodesOutput is True and target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
DO02,Server,,Excessive Allocation,Control,target.controls.handlesResourceConsumption is True,,
DO01,Server,,Flooding,Control,target.controls.handlesResourceConsumption is True and target.controls.isResilient is True,,
AC07,Server,,Exploiting Incorrectly Configured Access Control Security Levels,Control,target.controls.hasAccessControl is True,,
AC08,Server,,Manipulate Registry Information,Control,target.controls.hasAccessControl is True,,
AC01,Server,,Privilege Abuse,Control,target.controls.hasAccessControl is True and target.controls.authorizesSource is True,,
AC09,Server,,Functionality Misuse,Control,target.controls.hasAccessControl is True and target.controls.authorizesSource is True,,
CR03,Server,OS=Windows,Dictionary-based Password Attack,Control,target.controls.implementsAuthenticationScheme is True,Active Directory,
CR03,Server,OS=Unix,Dictionary-based Password Attack,Control,target.controls.implementsAuthenticationScheme is True,Samba Active Directory,
AA04,Server,,Exploiting Trust in Client,Control,target.controls.implementsServerSideValidation is True or (target.controls.providesIntegrity is True and target.controls.authorizesSource is True),,
INP36,Server,,HTTP Response Smuggling,Control,target.controls.implementsStrictHTTPValidation is True or target.controls.encodesHeaders is True,,
INP37,Server,,HTTP Request Smuggling,Control,target.controls.implementsStrictHTTPValidation is True or target.controls.encodesHeaders is True,,
DS03,Server,,Footprinting,Control,target.controls.isHardened is True,,
AC06,Server,,Using Malicious Files,Control,target.controls.isHardened is True and target.controls.hasAccessControl is True,,
AA03,Server,,Exploitation of Trusted Credentials,Control,target.controls.providesIntegrity is True and target.controls.authenticatesSource is True and target.controls.usesStrongSessionIdentifiers is True,,
SC05,Server,,Removing Important Client Functionality,Control,target.controls.providesIntegrity is True and target.controls.usesCodeSigning is True,,
INP03,Server,,Server Side Include (SSI) Injection,Control,target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
INP18,Server,,Fuzzing and observing application log data/errors for application mapping,Control,target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
SC04,Server,,XSS Using Alternate Syntax,Control,target.controls.sanitizesInput is True and target.controls.validatesInput is True and target.controls.encodesOutput is True,,
CR05,Server,,Encryption Brute Forcing,Control,target.controls.usesEncryptionAlgorithm == 'RSA' or target.controls.usesEncryptionAlgorithm == 'AES',,
AC11,Server,,Session Credential Falsification through Manipulation,Control,target.controls.usesStrongSessionIdentifiers is True,,
AC16,Server,,Session Credential Falsification through Prediction,Control,target.controls.usesStrongSessionIdentifiers is True,,
AC17,Server,,Session Hijacking - ServerSide,Control,target.controls.usesStrongSessionIdentifiers is True,,
INP17,Server,,XSS Using MIME Type Mismatch,Control,target.controls.validatesContentType is True and target.controls.invokesScriptFilters is True,,
HA03,Server,,Web Application Fingerprinting,Control,target.controls.validatesHeaders is True and target.controls.encodesOutput is True and target.controls.isHardened is True,,
HA01,Server,,Path Traversal,Control,target.controls.validatesInput is False and target.controls.sanitizesInput is False,,
INP05,Server,,Command Line Execution through SQL Injection,Control,target.controls.validatesInput is True,,
INP09,Server,,LDAP Injection,Control,target.controls.validatesInput is True,,
INP10,Server,,Parameter Injection,Control,target.controls.validatesInput is True,,
INP14,Server,,Input Data Manipulation,Control,target.controls.validatesInput is True,,
INP16,Server,,PHP Remote File Inclusion,Control,target.controls.validatesInput is True,,
SC02,Server,,XSS Targeting Non-Script Elements,Control,target.controls.validatesInput is True and target.controls.encodesOutput is True,,
DE02,Server,,Double Encoding,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP08,Server,,Format String Injection,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP11,Server,,Relative Path Traversal,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True,,
INP28,Server,,XSS Targeting URI Placeholders,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
INP29,Server,,XSS Using Doubled Characters,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.encodesOutput is True,,
SC03,Server,,Embedding Scripts within Scripts,Control,target.controls.validatesInput is True and target.controls.sanitizesInput is True and target.controls.hasAccessControl is True,,
INP06,Server,,SQL Injection through SOAP Parameter Tampering,Attribute and Control,target.protocol != 'SOAP' or (target.controls.sanitizesInput is True and target.controls.validatesInput is True),,
DS05,Server,,Lifting Sensitive Data Embedded in Cache,Attribute,target.usesCache is False,,
AC19,Server,,Reusing Session IDs (aka Session Replay) - ServerSide,Attribute and Control,target.usesSessionTokens is False or target.controls.implementsNonce is True,,
CR04,Server,,Session Credential Falsification through Forging,Attribute and Control,target.usesSessionTokens is False or target.controls.implementsNonce is True,,
DO05,Server,,XML Nested Payloads,Attribute and Control,target.usesXMLParser is False or (target.controls.validatesInput is True and target.controls.sanitizesInput is True),,
INP19,Server,,XML External Entities Blowup,Attribute and Control,target.usesXMLParser is True and target.controls.disablesDTD is True,,
INP21,Server,,DTD Injection,Attribute and Control,target.usesXMLParser is True and target.controls.disablesDTD is True,,
INP22,Server,,XML Attribute Blowup,Attribute and Control,target.usesXMLParser is True and target.controls.disablesDTD is True,,
